Campaign,Ad Group,Status,Max CPC
[검색] 비상벨 | 법정설치,장애인화장실 비상벨,Paused,700
[검색] 비상벨 | 법정설치,공중화장실 비상벨,Paused,700
[검색] 비상벨 | 법정설치,설치 의무·기준 (정보탐색),Paused,400
[검색] 비상벨 | 일반·시설별,무선 호출벨,Paused,700
[검색] 비상벨 | 일반·시설별,무선 비상벨,Paused,700
[검색] 비상벨 | 일반·시설별,시설별 비상벨,Paused,700
[검색] 비상벨 | 일반·시설별,노인·케어 호출벨 (최근 2년 최고 효율),Paused,700
[검색] 비상벨 | 일반·시설별,스마트폰 수신 비상벨 (차별점),Paused,700
[검색] 브랜드 | 헬로벨·헬로클릭,브랜드 - 헬로벨/헬로팩토리,Paused,500
[검색] 브랜드 | 헬로벨·헬로클릭,브랜드 - 헬로클릭,Paused,500
[검색] 헬로클릭 | 교육,학생응답시스템,Paused,700
[검색] 헬로클릭 | 교육,수업 참여 도구,Paused,700
[검색] 헬로클릭 | 교육,퀴즈·골든벨 버저,Paused,700
[검색] 헬로클릭 | 교육,학교 도입·렌탈,Paused,700
