캠페인 보고서
2023. 9. 25.~2026. 8. 30.
캠페인,월,노출수,클릭수,CTR,비용,평균 CPC,전환수,전환 가치
비상벨 검색어 클릭,2023-09,"42,943",421,0.98%,"462,445","1,098",0.00,0
비상벨 검색어 클릭,2023-10,"41,084",413,1.01%,"490,239","1,187",2.00,"2,458"
비상벨 검색어 클릭,2023-11,"45,035",329,0.73%,"486,510","1,478",0.00,0
비상벨 검색어 클릭,2023-12,"40,289",381,0.95%,"474,810","1,246",0.00,0
비상벨 검색어 클릭,2024-01,"39,936",464,1.16%,"475,642","1,025",0.00,0
비상벨 검색어 클릭,2024-02,"58,559",469,0.80%,"502,657","1,071",0.00,0
비상벨 검색어 클릭,2024-03,"50,998",332,0.65%,"496,748","1,496",0.00,0
비상벨 검색어 클릭,2024-04,"42,363",394,0.93%,"492,963","1,251",1.00,"1,273"
비상벨 검색어 클릭,2024-05,"32,108",403,1.26%,"210,878",523,4.00,"5,008"
비상벨 검색어 클릭,2024-06,"34,202",284,0.83%,"229,249",807,3.00,"4,464"
비상벨 검색어 클릭,2024-07,"28,748",387,1.35%,"195,624",505,8.00,"12,776"
비상벨 검색어 클릭,2024-08,"37,256",409,1.10%,"262,351",641,9.00,"12,465"
비상벨 검색어 클릭,2024-09,"30,140",306,1.02%,"258,582",845,5.00,"6,205"
비상벨 검색어 클릭,2024-10,"39,209",386,0.98%,"258,708",670,7.00,"11,011"
비상벨 검색어 클릭,2024-11,"31,435",415,1.32%,"297,659",717,3.00,"3,780"
비상벨 검색어 클릭,2024-12,"35,701",302,0.85%,"314,200","1,040",7.00,"8,939"
비상벨 검색어 클릭,2025-01,"35,818",270,0.75%,"308,178","1,141",3.00,"4,773"
비상벨 검색어 클릭,2025-02,"33,145",349,1.05%,"262,247",751,9.00,"13,464"
비상벨 검색어 클릭,2025-03,"24,253",283,1.17%,"299,591","1,058",6.00,"8,652"
비상벨 검색어 클릭,2025-04,"23,988",339,1.41%,"197,039",581,9.00,"12,105"
비상벨 검색어 클릭,2025-05,"33,370",265,0.79%,"281,132","1,060",9.00,"12,429"
비상벨 검색어 클릭,2025-06,"25,836",386,1.49%,"224,052",580,2.00,"2,622"
비상벨 검색어 클릭,2025-07,"26,238",323,1.23%,"255,348",790,8.00,"11,200"
비상벨 검색어 클릭,2025-08,"24,640",302,1.23%,"310,156","1,027",9.00,"12,645"
비상벨 검색어 클릭,2025-09,"26,486",370,1.40%,"252,833",683,6.00,"9,366"
비상벨 검색어 클릭,2025-10,"33,756",357,1.06%,"288,867",809,5.00,"6,385"
비상벨 검색어 클릭,2025-11,"27,774",298,1.07%,"201,753",677,5.00,"7,685"
비상벨 검색어 클릭,2025-12,"22,395",384,1.71%,"241,167",628,4.00,"5,336"
비상벨 검색어 클릭,2026-01,"22,134",297,1.34%,"253,906",854,8.00,"11,784"
비상벨 검색어 클릭,2026-02,"32,440",292,0.90%,"276,797",947,2.00,"2,866"
비상벨 검색어 클릭,2026-03,"35,043",362,1.03%,"282,859",781,8.00,"10,024"
비상벨 검색어 클릭,2026-04,"35,121",275,0.78%,"306,228","1,113",5.00,"6,170"
비상벨 검색어 클릭,2026-05,"36,438",301,0.83%,"234,726",779,3.00,"4,122"
비상벨 검색어 클릭,2026-06,"25,354",260,1.03%,"193,782",745,4.00,"5,896"
비상벨 검색어 클릭,2026-07,"33,914",417,1.23%,"206,598",495,2.00,"2,472"
비상벨 검색어 클릭,2026-08,"34,328",298,0.87%,"234,513",786,6.00,"8,262"
전체: 계정,,,,,,,,
